         9419130906 function calls (9037817859 primitive calls) in 13814.526 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  2910304 4545.223    0.002 4552.395    0.002 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_FastPathExecute}
   121258 2953.018    0.024 2953.018    0.024 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_Execute}
   121194  672.593    0.006 13503.859    0.111 C:\Users\puyan\anaconda3\lib\site-packages\keras\utils\traceback_utils.py:59(error_handler)
130519338/111492816  261.129    0.000  687.684    0.000 C:\Users\puyan\anaconda3\lib\site-packages\google\protobuf\internal\python_message.py:498(init)
49202212/5332264  111.559    0.000  933.606    0.000 C:\Users\puyan\anaconda3\lib\site-packages\google\protobuf\internal\python_message.py:1144(InternalParse)
57079558/29569976   97.751    0.000  427.456    0.000 C:\Users\puyan\anaconda3\lib\site-packages\google\protobuf\internal\python_message.py:1309(MergeFrom)
813241769   93.776    0.000  243.304    0.000 {built-in method builtins.isinstance}
144819462   78.858    0.000  160.483    0.000 C:\Users\puyan\anaconda3\lib\site-packages\google\protobuf\internal\python_message.py:1489(__init__)
262988973   77.836    0.000   82.815    0.000 {method 'items' of 'dict' objects}
48354078/14178978   75.677    0.000  471.117    0.000 C:\Users\puyan\anaconda3\lib\site-packages\google\protobuf\internal\python_message.py:1053(ByteSize)
144819462   63.724    0.000   68.740    0.000 {built-in method _weakref.proxy}
  3514466   61.386    0.000   61.386    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_FinishOperation}
  3514466   60.274    0.000   60.274    0.000 {built-in method tensorflow.python.util._tf_stack.extract_stack_for_op}
 92223738   59.232    0.000   71.754    0.000 C:\Users\puyan\anaconda3\lib\site-packages\google\protobuf\internal\decoder.py:156(ReadTag)
186750818/154030046   56.458    0.000  100.443    0.000 C:\Users\puyan\anaconda3\lib\site-packages\google\protobuf\internal\python_message.py:1444(Modified)
541480681   53.660    0.000   53.660    0.000 {method 'get' of 'dict' objects}
152936916/50171108   52.067    0.000   93.848    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\data\ops\options.py:586(__getattribute__)
213777088   51.430    0.000   70.010    0.000 C:\Users\puyan\anaconda3\lib\site-packages\google\protobuf\internal\python_message.py:688(getter)
 42173368   50.735    0.000  248.658    0.000 C:\Users\puyan\anaconda3\lib\site-packages\google\protobuf\internal\python_message.py:450(MakeSubMessageDefault)
  3514466   45.517    0.000  510.633    0.000 C:\Users\puyan\anaconda3\lib\site-packages\tensorflow\python\framework\ops.py:1906(_create_c_op)
 48838766   45.053    0.000  121.842    0.000 C:\Users\puyan\anaconda3\lib\site-packages\google\protobuf\internal\python_message.py:821(ListFields)
  4605172   44.452    0.000   51.004    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_OperationGetAttrValueProto}
